Player,Born,Url,player_url
Edwin Banguera,1996,https://fbref.com/en/players/408b59ae/Edwin-Banguera,https://www.transfermarkt.com/edwin-vente/profil/spieler/641151
Egídio Pereira Júnior,1986,https://fbref.com/en/players/6c5b3d31/Egidio-Pereira-Junior,https://www.transfermarkt.com/egidio/profil/spieler/54419
Elías,1985,https://fbref.com/en/players/97ce8f24/Elias,https://www.transfermarkt.com/elias/profil/spieler/74600
Elias Martello Curzel,1995,https://fbref.com/en/players/1b3a9910/Elias-Martello-Curzel,https://www.transfermarkt.com/elias/profil/spieler/479211
Eliseu Cassamá,1994,https://fbref.com/en/players/11dcfd0d/Eliseu-Cassama,https://www.transfermarkt.com/nadjack/profil/spieler/315970
Elson José Dias Júnior,1991,https://fbref.com/en/players/158b37a1/Elson-Jose-Dias-Junior,https://www.transfermarkt.com/elsinho/profil/spieler/374342
Élton Rodrigues Brandão,1985,https://fbref.com/en/players/e59be3c8/Elton-Rodrigues-Brandao,https://www.transfermarkt.com/elton/profil/spieler/41052
Elvis Vieira Araújo,1990,https://fbref.com/en/players/b5391b63/Elvis-Vieira-Araujo,https://www.transfermarkt.com/elvis/profil/spieler/76135
Emanuel Montejano Arroyo,2001,https://fbref.com/en/players/7c0da546/Emanuel-Montejano-Arroyo,https://www.transfermarkt.com/emanuel-montejano/profil/spieler/716749
Emil Riis Jakobsen,1998,https://fbref.com/en/players/292cdb26/Emil-Riis-Jakobsen,https://www.transfermarkt.com/emil-riis/profil/spieler/293325
Emiliano Velázco,2004,https://fbref.com/en/players/d4c3c92f/Emiliano-Velazco,https://www.transfermarkt.com/emiliano-velazco/profil/spieler/1053538
Ênio,2001,https://fbref.com/en/players/661b892f/Enio,https://www.transfermarkt.com/enio/profil/spieler/740085
Enrique Gomez,2004,https://fbref.com/en/players/59ffa68e/Enrique-Gomez,https://www.transfermarkt.com/enrique-gomez/profil/spieler/1067626
Enzo Cornelisse,2003,https://fbref.com/en/players/441f7f4c/Enzo-Cornelisse,https://www.transfermarkt.com/enzo-cornelisse/profil/spieler/607164
